artifact_id,filename,type,status,supports_results,path_observed,notes
ART-0028,RA_MotifDynamics_Core.lean,lean,superseded_wrapper,,/mnt/data/RA_MotifDynamics_Core.lean,superseded by D1-native family; not active result support
ART-0029,D1_BDG_MCMC_simulation.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/D1_BDG_MCMC_simulation.py,uploaded but not cited by registry
ART-0030,Epsilon_Env_Forecast_Memo_v3.md,md,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/Epsilon_Env_Forecast_Memo_v3.md,uploaded but not cited by registry
ART-0031,RAKB_tools_status_v0_3_scaffold.md,md,uploaded_verified,,/mnt/data/RAKB_v0_4/RAKB_tools_status_v0_3_scaffold.md,uploaded but not cited by registry
ART-0032,RAKB_v0_4_1_dependency_analysis.md,md,uploaded_verified,,/mnt/data/RAKB_v0_4_1/RAKB_v0_4_1_dependency_analysis.md,uploaded but not cited by registry
ART-0033,RAKB_v0_4_1_hygiene_audit.md,md,uploaded_verified,,/mnt/data/RAKB_v0_4_1/RAKB_v0_4_1_hygiene_audit.md,uploaded but not cited by registry
ART-0034,RAKB_v0_4_2_dependency_analysis.md,md,uploaded_verified,,/mnt/data/RAKB_v0_4_2/RAKB_v0_4_2_dependency_analysis.md,uploaded but not cited by registry
ART-0035,RAKB_v0_4_2_source_accountability_audit.md,md,uploaded_verified,,/mnt/data/RAKB_v0_4_2/RAKB_v0_4_2_source_accountability_audit.md,uploaded but not cited by registry
ART-0036,RAKB_v0_4_3_dependency_analysis.md,md,uploaded_verified,,/mnt/data/RAKB_v0_4_3/RAKB_v0_4_3_dependency_analysis.md,uploaded but not cited by registry
ART-0037,RAKB_v0_4_3_source_verification_audit.md,md,uploaded_verified,,/mnt/data/RAKB_v0_4_3/RAKB_v0_4_3_source_verification_audit.md,uploaded but not cited by registry
ART-0038,RAKB_v0_4_4_dependency_analysis.md,md,uploaded_verified,,/mnt/data/RAKB_v0_4_4/RAKB_v0_4_4_dependency_analysis.md,uploaded but not cited by registry
ART-0039,RAKB_v0_4_4_motif_supersession_audit.md,md,uploaded_verified,,/mnt/data/RAKB_v0_4_4/RAKB_v0_4_4_motif_supersession_audit.md,uploaded but not cited by registry
ART-0040,RAKB_v0_4_dependency_analysis.md,md,uploaded_verified,,/mnt/data/RAKB_v0_4/RAKB_v0_4_dependency_analysis.md,uploaded but not cited by registry
ART-0041,RAKB_v0_4_source_schema_audit.md,md,uploaded_verified,,/mnt/data/RAKB_v0_4/RAKB_v0_4_source_schema_audit.md,uploaded but not cited by registry
ART-0042,RA_BDG_Simulation.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/RA_BDG_Simulation.py,uploaded but not cited by registry
ART-0043,RA_Berry_Phase_Derived.md,md,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/RA_Berry_Phase_Derived.md,uploaded but not cited by registry
ART-0044,RA_D1_Proof.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/RA_D1_Proof.py,uploaded but not cited by registry
ART-0045,RA_Framing_Discipline.md,md,uploaded_verified,,/mnt/data/RA_Framing_Discipline.md,uploaded but not cited by registry
ART-0046,RA_Framing_Discipline_v2_Apr23_2026.md,md,uploaded_verified,,/mnt/data/RA_final_preprint_suite_Zenodo_titles_abstracts_Apr23_2026/RA_Framing_Discipline_v2_Apr23_2026.md,uploaded but not cited by registry
ART-0047,RA_Framing_Discipline_v3_Nature_RA_Native_Apr24_2026.md,md,uploaded_verified,,/mnt/data/RA_Framing_Discipline_v3_Nature_RA_Native_Apr24_2026.md,uploaded but not cited by registry
ART-0048,RA_MotifDynamics_supersession_audit.md,md,uploaded_verified,,/mnt/data/RA_MotifDynamics_supersession_audit.md,uploaded but not cited by registry
ART-0049,RA_PaperI_Preprint_Memo_and_Suite_Alignment_Apr23_2026.md,md,uploaded_verified,,/mnt/data/RA_PaperI_Preprint_Memo_and_Suite_Alignment_Apr23_2026.md,uploaded but not cited by registry
ART-0050,RA_Paper_I_Referee_Audit.md,md,uploaded_verified,,/mnt/data/RA_Paper_I_Referee_Audit.md,uploaded but not cited by registry
ART-0051,RA_Papers_II_IV_Audit_Corrected_Framing_Apr23_2026.md,md,uploaded_verified,,/mnt/data/RA_Papers_II_IV_Audit_Corrected_Framing_Apr23_2026.md,uploaded but not cited by registry
ART-0052,RA_RASM_Verification.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/RA_RASM_Verification.py,uploaded but not cited by registry
ART-0053,RA_Suite_Final_Preprint_Readiness_Audit_Apr23_2026.md,md,uploaded_verified,,/mnt/data/RA_Suite_Final_Preprint_Readiness_Audit_Apr23_2026.md,uploaded but not cited by registry
ART-0054,RA_Zenodo_Metadata_By_Paper_Apr2026.md,md,uploaded_verified,,/mnt/data/RA_Zenodo_Metadata_By_Paper_Apr2026.md,uploaded but not cited by registry
ART-0055,RA_artifact_inventory_v0_4_2.csv,csv,uploaded_verified,,/mnt/data/RAKB_v0_4_2/RA_artifact_inventory_v0_4_2.csv,uploaded but not cited by registry
ART-0056,RA_artifact_inventory_v0_4_3.csv,csv,uploaded_verified,,/mnt/data/RAKB_v0_4_3/RA_artifact_inventory_v0_4_3.csv,uploaded but not cited by registry
ART-0057,RA_artifact_inventory_v0_4_4.csv,csv,uploaded_verified,,/mnt/data/RAKB_v0_4_4/RA_artifact_inventory_v0_4_4.csv,uploaded but not cited by registry
ART-0058,RA_dependency_graph_analysis_v0_3.md,md,uploaded_verified,,/mnt/data/RA_dependency_graph_analysis_v0_3.md,uploaded but not cited by registry
ART-0059,RA_dependency_metrics_v0_3.csv,csv,uploaded_verified,,/mnt/data/RA_dependency_metrics_v0_3.csv,uploaded but not cited by registry
ART-0060,RA_dependency_metrics_v0_4_1_proof_only.csv,csv,uploaded_verified,,/mnt/data/RAKB_v0_4_1/RA_dependency_metrics_v0_4_1_proof_only.csv,uploaded but not cited by registry
ART-0061,RA_dependency_metrics_v0_4_2_proof_only.csv,csv,uploaded_verified,,/mnt/data/RAKB_v0_4_2/RA_dependency_metrics_v0_4_2_proof_only.csv,uploaded but not cited by registry
ART-0062,RA_dependency_metrics_v0_4_3_proof_only.csv,csv,uploaded_verified,,/mnt/data/RAKB_v0_4_3/RA_dependency_metrics_v0_4_3_proof_only.csv,uploaded but not cited by registry
ART-0063,RA_dependency_metrics_v0_4_4_proof_only.csv,csv,uploaded_verified,,/mnt/data/RAKB_v0_4_4/RA_dependency_metrics_v0_4_4_proof_only.csv,uploaded but not cited by registry
ART-0064,RA_dependency_metrics_v0_4_proof_only.csv,csv,uploaded_verified,,/mnt/data/RAKB_v0_4/RA_dependency_metrics_v0_4_proof_only.csv,uploaded but not cited by registry
ART-0065,RA_results_master_v0_3_summary.md,md,uploaded_verified,,/mnt/data/RA_results_master_v0_3_summary.md,uploaded but not cited by registry
ART-0066,RA_suite_active_support_surface_master_v2.csv,csv,uploaded_verified,,/mnt/data/RA_suite_active_support_surface_master_v2.csv,uploaded but not cited by registry
ART-0067,RA_suite_publication_checklist_v1.csv,csv,uploaded_verified,,/mnt/data/RA_suite_publication_checklist_v1.csv,uploaded but not cited by registry
ART-0068,RA_suite_publication_pass_v2.md,md,uploaded_verified,,/mnt/data/RA_suite_publication_pass_v2.md,uploaded but not cited by registry
ART-0069,bdg_multicoupling.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/bdg_multicoupling.py,uploaded but not cited by registry
ART-0070,berry_decomposition.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/berry_decomposition.py,uploaded but not cited by registry
ART-0071,berry_final.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/berry_final.py,uploaded but not cited by registry
ART-0072,berry_theorems.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/berry_theorems.py,uploaded but not cited by registry
ART-0073,berry_transfer.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/berry_transfer.py,uploaded but not cited by registry
ART-0074,born_rule_derivation.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/born_rule_derivation.py,uploaded but not cited by registry
ART-0075,branching_volume.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/branching_volume.py,uploaded but not cited by registry
ART-0076,casimir_benchmark.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/casimir_benchmark.py,uploaded but not cited by registry
ART-0077,cross_dimensional_exclusion.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/cross_dimensional_exclusion.py,uploaded but not cited by registry
ART-0078,d1_BDG_string_tension.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/d1_BDG_string_tension.py,uploaded but not cited by registry
ART-0079,d2_two_phases.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/d2_two_phases.py,uploaded but not cited by registry
ART-0080,d3_alpha_s_BDG.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/d3_alpha_s_BDG.py,uploaded but not cited by registry
ART-0081,d3i_complete.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/d3i_complete.py,uploaded but not cited by registry
ART-0082,mu_int_derive.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/mu_int_derive.py,uploaded but not cited by registry
ART-0083,n_eff_alternative.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/n_eff_alternative.py,uploaded but not cited by registry
ART-0084,n_eff_factorization.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/n_eff_factorization.py,uploaded but not cited by registry
ART-0085,n_eff_mc_test.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/n_eff_mc_test.py,uploaded but not cited by registry
ART-0086,o14_incidence_algebra.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/o14_incidence_algebra.py,uploaded but not cited by registry
ART-0087,o14_proof.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/o14_proof.py,uploaded but not cited by registry
ART-0088,pathwise_exit.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/pathwise_exit.py,uploaded but not cited by registry
ART-0089,ra_early_bh.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/ra_early_bh.py,uploaded but not cited by registry
ART-0090,ra_structure_formation.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/ra_structure_formation.py,uploaded but not cited by registry
ART-0091,ra_verify_heraclitus.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/ra_verify_heraclitus.py,uploaded but not cited by registry
ART-0092,rho_native.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/rho_native.py,uploaded but not cited by registry
ART-0093,rindler_relative_entropy.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/rindler_relative_entropy.py,uploaded but not cited by registry
ART-0094,sensitivity_matrix.csv,csv,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/sensitivity_matrix.csv,uploaded but not cited by registry
ART-0095,severed_outdegree.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/severed_outdegree.py,uploaded but not cited by registry
ART-0096,t1_forecast_deliverables.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/t1_forecast_deliverables.py,uploaded but not cited by registry
ART-0097,t1_forecast_deliverables_v2.py,py,uploaded_verified,,/mnt/data/RA_archive_sources_extracted/t1_forecast_deliverables_v2.py,uploaded but not cited by registry
